date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1928-09-09,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-10,3.30963,-6.1814857,3.288597,-1.6328816
1928-09-11,2.206786,-5.4033537,3.198752,-0.46871936
1928-09-12,2.156057,-4.789735,2.6706169,-0.71919143
1928-09-13,2.3662622,-4.748905,2.5115743,-1.0597954
1928-09-14,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-15,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-16,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-17,2.2654767,-5.7182064,3.4508767,-0.39005172
1928-09-18,3.13222,-5.8797374,3.1121173,-1.5462697
1928-09-19,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-20,2.2002234,-4.6778173,2.5413327,-0.8518189
1928-09-21,2.175013,-5.189951,3.0233855,-0.5327123
1928-09-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-23,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-24,2.1624818,-4.746262,2.6265497,-0.7545441
1928-09-25,2.3653464,-4.747983,2.511303,-1.0588975
1928-09-26,2.3307521,-4.7167883,2.5031152,-1.0240903
1928-09-27,4.1975513,-7.7662873,4.230397,-2.0422604
1928-09-28,2.269644,-4.6773167,2.5019855,-0.9551393
1928-09-29,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-09-30,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-01,2.3437428,-6.090604,3.747353,-0.31102666
1928-10-02,2.7708673,-5.2937365,2.7778668,-1.3511139
1928-10-03,2.5928836,-5.0312047,2.6367986,-1.2399409
1928-10-04,2.1620584,-4.7481775,2.6286085,-0.75273216
1928-10-05,2.4457788,-4.837062,2.5440567,-1.1311886
1928-10-06,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-07,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-08,2.8429637,-5.4056263,2.8403292,-1.3927805
1928-10-09,2.1618624,-4.749115,2.6296034,-0.75187
1928-10-10,2.3726854,-6.2169013,3.847498,-0.28696704
1928-10-11,2.1518922,-4.8857155,2.760273,-0.6596838
1928-10-12,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-13,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-14,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-15,2.1728568,-5.1732626,3.0094895,-0.5382787
1928-10-16,2.1631997,-4.7431126,2.6231563,-0.75756073
1928-10-17,2.1633716,-4.742388,2.6223707,-0.7582694
1928-10-18,2.1859112,-4.691412,2.5615258,-0.8225329
1928-10-19,2.15589,-5.000197,2.8625228,-0.6043988
1928-10-20,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-21,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-22,3.098826,-5.823288,3.0794063,-1.5295291
1928-10-23,2.1707969,-5.1566963,2.995678,-0.54388285
1928-10-24,2.2028117,-4.6761594,2.538414,-0.8566195
1928-10-25,2.6341124,-5.089737,2.6672144,-1.2669749
1928-10-26,4.04377,-7.48413,4.0618105,-1.972738
1928-10-27,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-10-28,2.2989497,-4.6932807,2.4999404,-0.9896153
